prestodb/presto,Ahana,Data,Database,Ahana.io
airbytehq/airbyte,Airbyte,Data,Integration,airbyte.io
algorand/go-algorand,Algorand,Blockchain,Blockchain,algorando.com
allegroai/clearml,Allegro,AI/ML,AI/ML Ops,allegro.ai
Alluxio/alluxio,Alluxio,Data,Orchestration,alluxio.com
ClickHouse/ClickHouse,Altinity,Data ,Analytical,altinity.com
anchore/anchore-engine,Anchore,Containers,Security,https://anchore.com/
ray-project/ray,Anyscale,Dev Framework,PaaS,https://www.anyscale.com/
spinnaker/spinnaker,Armory,Devops,CD,https://www.armory.io/
kubeflow/kubeflow,Arrikto,AI/ML,AI/ML Ops,https://www.arrikto.com/
apache/airflow,Astronomer,Data,Integration,https://www.astronomer.io/
teambit/bit,Bit Dev,Developer,Catalog,https://bit.dev
brimsec/brim,Brim Security,Networking,Security, https://brimup.com
bufbuild/buf,Buf,Developer,API Management,https://buf.build/
open-policy-agent/opa,Build Security,Devops,Security,https://build.security/
bazelbuild/bazel,BuildBuddy,Developer,Build Tools,https://www.buildbuddy.io/
linkerd/linkerd2,Buoyant,Containers,Service Mesh,https://buoyant.io/
tf-encrypted/tf-encrypted,Cape Privacy,AI/ML,Data Management,https://capeprivacy.com/
chaostoolkit/chaostoolkit,chaos iq,PlatformOps,Chaos Testing,https://chaosiq.io/
charmbracelet/glow,Charm,Developer,Tools,https://charm.sh/
checkly/headless-recorder,Checkly,Developer,QA,https://www.checklyhq.com/
chromaui/learnstorybook.com,chromatic,Developer,QA,https://www.chromatic.com/
m3db/m3,Chronosphere,PlatformOps,Monitoring DB,http://www.chronosphere.io
cloudify-cosmo/cloudify-manager,Cloudify,PlatformOps,Automation,http://cloudify.co
cockroachdb/cockroach,Cockroach Labs,Data,Database,https://www.cockroachlabs.com/
cdr/code-server,Coder,Developer,IDE,https://coder.com/
codesandbox/codesandbox-client,CodeSandbox,Developer,Tooling,http://codesandbox.io
dask/dask,Coiled,AI/ML,Platform,https://coiled.io/
